Team 1,Team 2,Wins
Atlanta Hawks,Boston Celtics,2
Atlanta Hawks,Brooklyn Nets,2
Atlanta Hawks,Charlotte Hornets,1
Atlanta Hawks,Chicago Bulls,3
Atlanta Hawks,Cleveland Cavaliers,3
Atlanta Hawks,Dallas Mavericks,2
Atlanta Hawks,Denver Nuggets,2
Atlanta Hawks,Detroit Pistons,1
Atlanta Hawks,Golden State Warriors,0
Atlanta Hawks,Houston Rockets,2
Atlanta Hawks,Indiana Pacers,1
Atlanta Hawks,Los Angeles Clippers,0
Atlanta Hawks,Los Angeles Lakers,0
Atlanta Hawks,Memphis Grizzlies,1
Atlanta Hawks,Miami Heat,2
Atlanta Hawks,Milwaukee Bucks,3
Atlanta Hawks,Minnesota Timberwolves,0
Atlanta Hawks,New Orleans Pelicans,1
Atlanta Hawks,New York Knicks,3
Atlanta Hawks,Oklahoma City Thunder,1
Atlanta Hawks,Orlando Magic,2
Atlanta Hawks,Philadelphia 76ers,4
Atlanta Hawks,Phoenix Suns,1
Atlanta Hawks,Portland Trail Blazers,1
Atlanta Hawks,Sacramento Kings,1
Atlanta Hawks,San Antonio Spurs,1
Atlanta Hawks,Toronto Raptors,2
Atlanta Hawks,Utah Jazz,0
Atlanta Hawks,Washington Wizards,1
Boston Celtics,Atlanta Hawks,1
Boston Celtics,Brooklyn Nets,4
Boston Celtics,Charlotte Hornets,4
Boston Celtics,Chicago Bulls,2
Boston Celtics,Cleveland Cavaliers,1
Boston Celtics,Dallas Mavericks,2
Boston Celtics,Denver Nuggets,0
Boston Celtics,Detroit Pistons,3
Boston Celtics,Golden State Warriors,1
Boston Celtics,Houston Rockets,1
Boston Celtics,Indiana Pacers,3
Boston Celtics,Los Angeles Clippers,1
Boston Celtics,Los Angeles Lakers,2
Boston Celtics,Memphis Grizzlies,2
Boston Celtics,Miami Heat,4
Boston Celtics,Milwaukee Bucks,2
Boston Celtics,Minnesota Timberwolves,2
Boston Celtics,New Orleans Pelicans,1
Boston Celtics,New York Knicks,3
Boston Celtics,Oklahoma City Thunder,0
Boston Celtics,Orlando Magic,3
Boston Celtics,Philadelphia 76ers,3
Boston Celtics,Phoenix Suns,1
Boston Celtics,Portland Trail Blazers,1
Boston Celtics,Sacramento Kings,1
